County,Population2018,Population2012
Baker County,16054,15914
Benton County,90951,86436
Clackamas County,412672,383628
Clatsop County,39182,37339
Columbia County,51782,49233
Coos County,63888,62637
Crook County,23123,20666
Curry County,22669,22274
Deschutes County,186875,161887
Douglas County,109405,107166
Gilliam County,1855,1948
Grant County,7190,7317
Harney County,7289,7228
Hood River County,23377,22597
Jackson County,217479,206512
Jefferson County,23758,21033
Josephine County,86352,82813
Klamath County,66935,66071
Lake County,7863,7785
Lane County,374748,354506
Lincoln County,48920,46174
Linn County,125047,118407
Malheur County,30480,30632
Marion County,341286,321397
Morrow County,11166,11259
Multnomah County,807555,758932
Polk County,83696,76331
Sherman County,1758,1739
Tillamook County,26690,25326
Umatilla County,76985,76882
Union County,26222,25823
Wallowa County,7051,6833
Wasco County,26437,25470
Washington County,588957,547543
Wheeler County,1357,1419
Yamhill County,105722,100644
